st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S12,Madhya Pradesh,56,Jabera,DEVCHANDRA UIKE,Gondvana Gantantra Party,1572,7,1579,0.93
S12,Madhya Pradesh,56,Jabera,RAMLAL MANDAVI,Ambedkarite Party of India,738,2,740,0.43
S12,Madhya Pradesh,56,Jabera,DR. MANMOHAN SINGH BISEN,Independent,1795,26,1821,1.07
S12,Madhya Pradesh,56,Jabera,NOTA,None of the Above,3562,12,3574,2.1
S12,Madhya Pradesh,57,Hata,Ajay Chandrakar,Bharatiya Janata Party,94192,520,94712,50.07
S12,Madhya Pradesh,57,Hata,Tarni Neelam Chandrakar,Indian National Congress,86146,476,86622,45.79
S12,Madhya Pradesh,57,Hata,Tejeshwar Kumar Kurre,Janta Congress Chhattisgarh (J),553,5,558,0.29
S12,Madhya Pradesh,57,Hata,Lalchand Patel,Bahujan Samaj Party,391,4,395,0.21
S12,Madhya Pradesh,57,Hata,Khilawan Prasad Sahu,Bhartiya Shakti Chetna Party,658,2,660,0.35
S12,Madhya Pradesh,57,Hata,Prem Singh Dhruw,Hamar Raj Party,198,2,200,0.11
S12,Madhya Pradesh,57,Hata,Basant Kumar Sahu,Johar Chhattisgarh Party,130,0,130,0.07
S12,Madhya Pradesh,57,Hata,Chandrahas Sahu,Independent,63,0,63,0.03
S12,Madhya Pradesh,57,Hata,Jayant Sahu,Independent,67,0,67,0.04
S12,Madhya Pradesh,57,Hata,Tomesh Kumar,Independent,80,0,80,0.04
S12,Madhya Pradesh,57,Hata,Neelmani Nishad,Independent,353,0,353,0.19
S12,Madhya Pradesh,57,Hata,Parmeshwar Jangade,Independent,202,1,203,0.11
S12,Madhya Pradesh,57,Hata,Bhuneshwer Sahu Belaodi,Independent,153,1,154,0.08
S12,Madhya Pradesh,57,Hata,Mohan Sahu Bagaud,Independent,356,0,356,0.19
S12,Madhya Pradesh,57,Hata,Sanjay Chandrakar,Independent,1845,0,1845,0.98
S12,Madhya Pradesh,57,Hata,NOTA,None of the Above,2749,7,2756,1.46
S12,Madhya Pradesh,58,Pawai,ONKAR SAHU,Indian National Congress,87900,644,88544,48.44
S12,Madhya Pradesh,58,Pawai,GHANARAM SAHU,Bahujan Samaj Party,1094,8,1102,0.6
S12,Madhya Pradesh,58,Pawai,FIROZ KHAN APNA,Janta Congress Chhattisgarh (J),372,3,375,0.21
S12,Madhya Pradesh,58,Pawai,RANJNA DIPENDRA SAHU,Bharatiya Janata Party,85256,682,85938,47.02
S12,Madhya Pradesh,58,Pawai,GEETA SARTHI,Socialist Unity Centre Of India (COMMUNIST),874,1,875,0.48
S12,Madhya Pradesh,58,Pawai,NIKHILESH DEWAN SAHU,Johar Chhattisgarh Party,543,4,547,0.3
S12,Madhya Pradesh,58,Pawai,NIRANJAN PATEL,Bhartiya Shakti Chetna Party,419,3,422,0.23
S12,Madhya Pradesh,58,Pawai,BALRAM MANDAVI,Hamar Raj Party,442,16,458,0.25
S12,Madhya Pradesh,58,Pawai,SADIK HUSAIN BABA BHAI,Rashtriya Hind Ekta Dal,318,1,319,0.17
S12,Madhya Pradesh,58,Pawai,AMAN KUMAR KOSRIYA,Independent,635,1,636,0.35
S12,Madhya Pradesh,58,Pawai,ROHIT KUMAR,Independent,243,0,243,0.13
S12,Madhya Pradesh,58,Pawai,LUKESHWARI SURENDRA SAHU,Independent,625,2,627,0.34
S12,Madhya Pradesh,58,Pawai,NOTA,None of the Above,2671,24,2695,1.47
S12,Madhya Pradesh,59,Gunnaor,CHOVENDRA KUMAR SAHU,Aam Aadmi Party,1670,17,1687,0.88
S12,Madhya Pradesh,59,Gunnaor,RAKESH KUMAR YADAV,Bharatiya Janata Party,67124,479,67603,35.3
S12,Madhya Pradesh,59,Gunnaor,SANGEETA SINHA,Indian National Congress,84090,559,84649,44.2
S12,Madhya Pradesh,59,Gunnaor,GAUKARAN GANGBER,Azad Janata Party,737,1,738,0.39
S12,Madhya Pradesh,59,Gunnaor,CHANDRABHAN SAHU,Johar Chhattisgarh Party,736,6,742,0.39
S12,Madhya Pradesh,59,Gunnaor,PUNESHWAR KUMAR DEWANGAN,Gondvana Gantantra Party,178,2,180,0.09
S12,Madhya Pradesh,59,Gunnaor,MANOJ KUMAR SAHU,Lok Jan Shakti Party,168,1,169,0.09
S12,Madhya Pradesh,59,Gunnaor,VINOD KUMAR NAGWANSHI,Hamar Raj Party,2734,43,2777,1.45
S12,Madhya Pradesh,59,Gunnaor,KAMALKANT SAHU,Independent,761,1,762,0.4
S12,Madhya Pradesh,59,Gunnaor,DHANANJAY DILLIWAR,Independent,267,0,267,0.14
S12,Madhya Pradesh,59,Gunnaor,BHAGWATI SAHU,Independent,754,13,767,0.4
S12,Madhya Pradesh,59,Gunnaor,MEENA SATYENDRA SAHU,Independent,26873,296,27169,14.19
S12,Madhya Pradesh,59,Gunnaor,RAVINDRA KUMAR MAURYA,Independent,1333,0,1333,0.7
S12,Madhya Pradesh,59,Gunnaor,SHABNAM RANI GOUR,Independent,1287,0,1287,0.67
S12,Madhya Pradesh,59,Gunnaor,NOTA,None of the Above,1362,13,1375,0.72
S12,Madhya Pradesh,60,Panna,ANILA BHENDIA,Indian National Congress,102097,665,102762,56.43
S12,Madhya Pradesh,60,Panna,DEVLAL THAKUR,Bharatiya Janata Party,66627,556,67183,36.89
S12,Madhya Pradesh,60,Panna,GIRWAR SINGH THAKUR,Hamar Raj Party,7693,100,7793,4.28
S12,Madhya Pradesh,60,Panna,ISHWAR SINGH THAKUR,Independent,1234,6,1240,0.68
S12,Madhya Pradesh,60,Panna,NOTA,None of the Above,3107,19,3126,1.72
S12,Madhya Pradesh,61,Chitrakoot,ASHOK ADIL,Bahujan Samaj Party,1411,17,1428,0.7
S12,Madhya Pradesh,61,Chitrakoot,KUNWER SINGH NISHAD,Indian National Congress,102745,446,103191,50.35
S12,Madhya Pradesh,61,Chitrakoot,JASWANT SINHA,Aam Aadmi Party,3195,37,3232,1.58
S12,Madhya Pradesh,61,Chitrakoot,RAJENDRA RAI,Janta Congress Chhattisgarh (J),1327,8,1335,0.65
