st_code,st_name,ac_no,ac_name,candidate,party,evm_votes,postal_votes,total_votes,percent_votes
S20,Rajasthan,152,Udaipur Rural,Gebi Lal Damor,Communist Party of India,1959,4,1963,0.91
S20,Rajasthan,152,Udaipur Rural,Phula Alias Phool Chand Meena,Independent,1110,2,1112,0.52
S20,Rajasthan,152,Udaipur Rural,Shobha Lal Gameti,Independent,945,3,948,0.44
S20,Rajasthan,152,Udaipur Rural,NOTA,None of the Above,2687,16,2703,1.26
S20,Rajasthan,153,Udaipur,Prof. Gourav Vallabh,Indian National Congress,63990,705,64695,38.98
S20,Rajasthan,153,Udaipur,Tarachand Jain,Bharatiya Janata Party,96500,966,97466,58.73
S20,Rajasthan,153,Udaipur,Manoj Labana,Aam Aadmi Party,347,1,348,0.21
S20,Rajasthan,153,Udaipur,Dr. Rajkumar Yadav,Bahujan Samaj Party,220,5,225,0.14
S20,Rajasthan,153,Udaipur,Tulsi Ram Gameti,Bharat Adivasi Party,584,5,589,0.35
S20,Rajasthan,153,Udaipur,Narbada Bhati,Bahujan Mukti Party,112,1,113,0.07
S20,Rajasthan,153,Udaipur,Bhuri Singh,Indian Peoples Green Party,123,2,125,0.08
S20,Rajasthan,153,Udaipur,Arjun Upadhyay,Independent,187,3,190,0.11
S20,Rajasthan,153,Udaipur,Ashu Agarwal,Independent,199,0,199,0.12
S20,Rajasthan,153,Udaipur,Dr Deepak Rawal,Independent,147,2,149,0.09
S20,Rajasthan,153,Udaipur,Pramod Kumar Verma,Independent,267,4,271,0.16
S20,Rajasthan,153,Udaipur,NOTA,None of the Above,1564,15,1579,0.95
S20,Rajasthan,154,Mavli,Kuldeep Singh Chundawat,Rashtriya Loktantrik Party,32287,234,32521,15.98
S20,Rajasthan,154,Mavli,Krishnagopal Paliwal,Bharatiya Janata Party,75541,588,76129,37.42
S20,Rajasthan,154,Mavli,Pushkar Lal Dangi,Indian National Congress,77011,685,77696,38.19
S20,Rajasthan,154,Mavli,Dr. Raj Kumar Yadav,Bahujan Samaj Party,1227,4,1231,0.61
S20,Rajasthan,154,Mavli,Angur Lal Bheel,Bharat Adivasi Party,7853,20,7873,3.87
S20,Rajasthan,154,Mavli,Jeev Raj Sharma,Communist Party of India,1351,1,1352,0.66
S20,Rajasthan,154,Mavli,Dinesh Purohit,Independent,396,3,399,0.2
S20,Rajasthan,154,Mavli,Praveen Singh Asoliya,Independent,619,4,623,0.31
S20,Rajasthan,154,Mavli,Raju Puri,Independent,2125,1,2126,1.04
S20,Rajasthan,154,Mavli,Ram Lal Gurjar,Independent,1069,0,1069,0.53
S20,Rajasthan,154,Mavli,NOTA,None of the Above,2434,7,2441,1.2
S20,Rajasthan,155,Vallabhnagar,Udailal Dangi,Bharatiya Janata Party,82591,636,83227,40.82
S20,Rajasthan,155,Vallabhnagar,Preeti Gajendra Singh Shaktawat,Indian National Congress,62300,867,63167,30.98
S20,Rajasthan,155,Vallabhnagar,Suresh Kumar Meghwal,Bahujan Samaj Party,1839,10,1849,0.91
S20,Rajasthan,155,Vallabhnagar,Ra. Deependra Kunwar Bhindar,Janta Sena Rajasthan,46446,586,47032,23.07
S20,Rajasthan,155,Vallabhnagar,Sukhsampat Bagdi Meena,Bharat Adivasi Party,3380,7,3387,1.66
S20,Rajasthan,155,Vallabhnagar,Puja Urf Puran Singh Rawat,Independent,1107,8,1115,0.55
S20,Rajasthan,155,Vallabhnagar,Mohan Singh Rawat,Independent,901,2,903,0.44
S20,Rajasthan,155,Vallabhnagar,Roop Lal Menaria,Independent,1011,3,1014,0.5
S20,Rajasthan,155,Vallabhnagar,NOTA,None of the Above,2202,7,2209,1.08
S20,Rajasthan,156,Salumber,Amritlal Meena,Bharatiya Janata Party,79330,756,80086,37.54
S20,Rajasthan,156,Salumber,Kanheya Lal Meena,Bahujan Samaj Party,1733,0,1733,0.81
S20,Rajasthan,156,Salumber,Raghuvir Singh Meena,Indian National Congress,64430,965,65395,30.66
S20,Rajasthan,156,Salumber,Kalu Ram Meena,Communist Party of India,2221,3,2224,1.04
S20,Rajasthan,156,Salumber,Jitesh Kumar Meena,Bharat Adivasi Party,51375,316,51691,24.23
S20,Rajasthan,156,Salumber,Prakash Meena,Bhartiya Tribal Party,1105,0,1105,0.52
S20,Rajasthan,156,Salumber,Govind Kalasuya,Independent,3836,2,3838,1.8
